Abstime(sec),yyyy-mm-ddTHH:MM:SS.sss,x(m),y(m),z(m),xdot(m/s),ydot(m/s),zdot(m/s),phi(deg.),psi(deg.),theta(deg.),phidot(deg./sec),psidot(deg./sec),thetadot(deg./sec),roll(deg.),pitch(deg.),yaw(deg.)
1762459970.573000,2025-11-06T20:12:50.572,-70003.321669,3521.398369,-1820130.473554,1287.833768,1027.503110,-36.522734,239.874859864545,21.996461187125,1.034117228551,0.000152000000,0.000000000000,0.000000000000,26.004843,-0.197169,0.089482
1762459971.073000,2025-11-06T20:12:51.072,-69359.388027,4035.336942,-1820148.550400,1287.862264,1027.501513,-35.784663,239.874935942787,21.996461211683,1.034117410080,0.000152000000,0.000000000000,0.000000000000,26.004840,-0.197220,0.089500
1762459971.573000,2025-11-06T20:12:51.572,-68715.438835,4549.272955,-1820166.258207,1287.890500,1027.499706,-35.046578,239.875012020988,21.996461236239,1.034117591610,0.000152000000,0.000000000000,0.000000000000,26.004838,-0.197271,0.089519
1762459972.073000,2025-11-06T20:12:52.072,-68071.474224,5063.206303,-1820183.596967,1287.918475,1027.497690,-34.308480,239.875088099149,21.996461260793,1.034117773140,0.000152000000,0.000000000000,0.000000000000,26.004835,-0.197322,0.089537
1762459972.573000,2025-11-06T20:12:52.572,-67427.494322,5577.136880,-1820200.566674,1287.946189,1027.495464,-33.570368,239.875164177271,21.996461285346,1.034117954669,0.000152000000,0.000000000000,0.000000000000,26.004833,-0.197372,0.089556
1762459973.073000,2025-11-06T20:12:53.072,-66783.499262,6091.064582,-1820217.167321,1287.973643,1027.493028,-32.832243,239.875240255353,21.996461309896,1.034118136199,0.000152000000,0.000000000000,0.000000000000,26.004831,-0.197422,0.089575
1762459973.573000,2025-11-06T20:12:53.572,-66139.489174,6604.989304,-1820233.398901,1288.000835,1027.490383,-32.094106,239.875316333398,21.996461334444,1.034118317729,0.000152000000,0.000000000000,0.000000000000,26.004828,-0.197472,0.089593
1762459974.073000,2025-11-06T20:12:54.072,-65495.464188,7118.910941,-1820249.261408,1288.027766,1027.487529,-31.355955,239.875392411405,21.996461358991,1.034118499258,0.000152000000,0.000000000000,0.000000000000,26.004826,-0.197521,0.089612
1762459974.573000,2025-11-06T20:12:54.572,-64851.424434,7632.829388,-1820264.754835,1288.054437,1027.484465,-30.617791,239.875468489376,21.996461383535,1.034118680788,0.000152000000,0.000000000000,0.000000000000,26.004824,-0.197571,0.089630
1762459975.073000,2025-11-06T20:12:55.072,-64207.370043,8146.744541,-1820279.879175,1288.080846,1027.481191,-29.879615,239.875544567311,21.996461408078,1.034118862318,0.000152000000,0.000000000000,0.000000000000,26.004821,-0.197620,0.089649
1762459975.573000,2025-11-06T20:12:55.572,-63563.301147,8660.656293,-1820294.634423,1288.106994,1027.477707,-29.141426,239.875620645214,21.996461432620,1.034119043847,0.000152000000,0.000000000000,0.000000000000,26.004819,-0.197669,0.089668
1762459976.073000,2025-11-06T20:12:56.072,-62919.217874,9174.564542,-1820309.020572,1288.132881,1027.474014,-28.403225,239.875696723084,21.996461457159,1.034119225377,0.000152000000,0.000000000000,0.000000000000,26.004817,-0.197718,0.089686
1762459976.573000,2025-11-06T20:12:56.572,-62275.120357,9688.469181,-1820323.037616,1288.158507,1027.470111,-27.665012,239.875772800923,21.996461481697,1.034119406907,0.000152000000,0.000000000000,0.000000000000,26.004814,-0.197767,0.089705
1762459977.073000,2025-11-06T20:12:57.072,-61631.008726,10202.370105,-1820336.685549,1288.183872,1027.465999,-26.926787,239.875848878735,21.996461506234,1.034119588437,0.000152000000,0.000000000000,0.000000000000,26.004812,-0.197815,0.089724
1762459977.573000,2025-11-06T20:12:57.572,-60986.883110,10716.267210,-1820349.964364,1288.208976,1027.461676,-26.188549,239.875924956519,21.996461530770,1.034119769967,0.000152000000,0.000000000000,0.000000000000,26.004809,-0.197863,0.089743
1762459978.073000,2025-11-06T20:12:58.072,-60342.743642,11230.160391,-1820362.874056,1288.233818,1027.457144,-25.450300,239.876001034279,21.996461555304,1.034119951497,0.000152000000,0.000000000000,0.000000000000,26.004807,-0.197911,0.089762
1762459978.573000,2025-11-06T20:12:58.572,-59698.590451,11744.049542,-1820375.414618,1288.258400,1027.452403,-24.712039,239.876077112017,21.996461579836,1.034120133027,0.000152000000,0.000000000000,0.000000000000,26.004804,-0.197959,0.089781
1762459979.073000,2025-11-06T20:12:59.072,-59054.423669,12257.934560,-1820387.586046,1288.282720,1027.447451,-23.973766,239.876153189735,21.996461604368,1.034120314557,0.000152000000,0.000000000000,0.000000000000,26.004802,-0.198007,0.089801
1762459979.573000,2025-11-06T20:12:59.572,-58410.243426,12771.815338,-1820399.388332,1288.306778,1027.442290,-23.235482,239.876229267434,21.996461628899,1.034120496087,0.000152000000,0.000000000000,0.000000000000,26.004799,-0.198055,0.089820
1762459980.073000,2025-11-06T20:13:00.072,-57766.049852,13285.691771,-1820410.821472,1288.330576,1027.436919,-22.497187,239.876305345118,21.996461653429,1.034120677617,0.000152000000,0.000000000000,0.000000000000,26.004796,-0.198103,0.089839
1762459980.573000,2025-11-06T20:13:00.572,-57121.843079,13799.563756,-1820421.885460,1288.354112,1027.431339,-21.758880,239.876381422790,21.996461677958,1.034120859147,0.000152000000,0.000000000000,0.000000000000,26.004794,-0.198150,0.089859
1762459981.073000,2025-11-06T20:13:01.072,-56477.623237,14313.431186,-1820432.580289,1288.377387,1027.425549,-21.020562,239.876457500450,21.996461702487,1.034121040678,0.000152000000,0.000000000000,0.000000000000,26.004791,-0.198198,0.089879
1762459981.573000,2025-11-06T20:13:01.572,-55833.390457,14827.293958,-1820442.905956,1288.400400,1027.419549,-20.282233,239.876533578103,21.996461727015,1.034121222208,0.000152000000,0.000000000000,0.000000000000,26.004788,-0.198245,0.089898
1762459982.073000,2025-11-06T20:13:02.072,-55189.144869,15341.151965,-1820452.862453,1288.423153,1027.413339,-19.543893,239.876609655750,21.996461751543,1.034121403739,0.000152000000,0.000000000000,0.000000000000,26.004785,-0.198292,0.089918
1762459982.573000,2025-11-06T20:13:02.572,-54544.886605,15855.005103,-1820462.449777,1288.445643,1027.406920,-18.805543,239.876685733395,21.996461776070,1.034121585269,0.000152000000,0.000000000000,0.000000000000,26.004782,-0.198340,0.089938
1762459983.073000,2025-11-06T20:13:03.072,-53900.615795,16368.853267,-1820471.667921,1288.467873,1027.400291,-18.067181,239.876761811039,21.996461800598,1.034121766800,0.000152000000,0.000000000000,0.000000000000,26.004779,-0.198387,0.089958
1762459983.573000,2025-11-06T20:13:03.572,-53256.332570,16882.696352,-1820480.516880,1288.489841,1027.393452,-17.328809,239.876837888686,21.996461825125,1.034121948331,0.000152000000,0.000000000000,0.000000000000,26.004776,-0.198434,0.089979
1762459984.073000,2025-11-06T20:13:04.072,-52612.037061,17396.534254,-1820488.996649,1288.511548,1027.386404,-16.590427,239.876913966338,21.996461849652,1.034122129862,0.000152000000,0.000000000000,0.000000000000,26.004772,-0.198481,0.089999
1762459984.573000,2025-11-06T20:13:04.572,-51967.729398,17910.366866,-1820497.107223,1288.532993,1027.379146,-15.852034,239.876990043997,21.996461874180,1.034122311393,0.000152000000,0.000000000000,0.000000000000,26.004769,-0.198529,0.090020
1762459985.073000,2025-11-06T20:13:05.072,-51323.409712,18424.194085,-1820504.848597,1288.554177,1027.371678,-15.113632,239.877066121666,21.996461898708,1.034122492924,0.000152000000,0.000000000000,0.000000000000,26.004766,-0.198576,0.090040
1762459985.573000,2025-11-06T20:13:05.572,-50679.078134,18938.015805,-1820512.220767,1288.575100,1027.364001,-14.375219,239.877142199348,21.996461923236,1.034122674455,0.000152000000,0.000000000000,0.000000000000,26.004762,-0.198623,0.090061
1762459986.073000,2025-11-06T20:13:06.072,-50034.734795,19451.831922,-1820519.223726,1288.595762,1027.356114,-13.636796,239.877218277044,21.996461947765,1.034122855986,0.000152000000,0.000000000000,0.000000000000,26.004759,-0.198671,0.090082
1762459986.573000,2025-11-06T20:13:06.572,-49390.379825,19965.642330,-1820525.857470,1288.616162,1027.348018,-12.898363,239.877294354758,21.996461972294,1.034123037518,0.000152000000,0.000000000000,0.000000000000,26.004755,-0.198718,0.090103
1762459987.073000,2025-11-06T20:13:07.072,-48746.013355,20479.446925,-1820532.121996,1288.636300,1027.339712,-12.159921,239.877370432491,21.996461996825,1.034123219049,0.000152000000,0.000000000000,0.000000000000,26.004752,-0.198766,0.090124
1762459987.573000,2025-11-06T20:13:07.572,-48101.635516,20993.245602,-1820538.017297,1288.656178,1027.331197,-11.421469,239.877446510246,21.996462021356,1.034123400581,0.000152000000,0.000000000000,0.000000000000,26.004748,-0.198813,0.090145
1762459988.073000,2025-11-06T20:13:08.072,-47457.246438,21507.038256,-1820543.543369,1288.675794,1027.322472,-10.683007,239.877522588025,21.996462045888,1.034123582113,0.000152000000,0.000000000000,0.000000000000,26.004744,-0.198861,0.090167
1762459988.573000,2025-11-06T20:13:08.572,-46812.846253,22020.824783,-1820548.700208,1288.695149,1027.313538,-9.944536,239.877598665829,21.996462070421,1.034123763645,0.000152000000,0.000000000000,0.000000000000,26.004741,-0.198909,0.090188
1762459989.073000,2025-11-06T20:13:09.072,-46168.435091,22534.605077,-1820553.487808,1288.714242,1027.304394,-9.206056,239.877674743661,21.996462094956,1.034123945177,0.000152000000,0.000000000000,0.000000000000,26.004737,-0.198957,0.090210
1762459989.573000,2025-11-06T20:13:09.572,-45524.013082,23048.379033,-1820557.906167,1288.733074,1027.295042,-8.467567,239.877750821522,21.996462119491,1.034124126710,0.000152000000,0.000000000000,0.000000000000,26.004733,-0.199005,0.090232
1762459990.073000,2025-11-06T20:13:10.072,-44879.580358,23562.146548,-1820561.955279,1288.751645,1027.285479,-7.729069,239.877826899414,21.996462144028,1.034124308242,0.000152000000,0.000000000000,0.000000000000,26.004729,-0.199054,0.090254
1762459990.573000,2025-11-06T20:13:10.572,-44235.137049,24075.907516,-1820565.635140,1288.769955,1027.275708,-6.990563,239.877902977339,21.996462168567,1.034124489775,0.000152000000,0.000000000000,0.000000000000,26.004725,-0.199102,0.090276
1762459991.073000,2025-11-06T20:13:11.072,-43590.683285,24589.661833,-1820568.945746,1288.788004,1027.265727,-6.252047,239.877979055297,21.996462193106,1.034124671307,0.000152000000,0.000000000000,0.000000000000,26.004721,-0.199151,0.090298
1762459991.573000,2025-11-06T20:13:11.572,-42946.219198,25103.409393,-1820571.887093,1288.805791,1027.255537,-5.513523,239.878055133289,21.996462217648,1.034124852840,0.000152000000,0.000000000000,0.000000000000,26.004718,-0.199200,0.090320
1762459992.073000,2025-11-06T20:13:12.072,-42301.744918,25617.150093,-1820574.459176,1288.823317,1027.245138,-4.774991,239.878131211318,21.996462242190,1.034125034373,0.000152000000,0.000000000000,0.000000000000,26.004714,-0.199249,0.090342
